Radio Hex Data Log - COM7 @ 115200 baud
Started: 2026-01-05 17:12:02
================================================================================

[2026-01-05 17:12:06.731] 811100
[2026-01-05 17:12:06.752] 11e0882b000f81000000000824060042e087e92377
[2026-01-05 17:12:07.213] 81110015e0882b000d8100000000082306003fc8afc03c71
[2026-01-05 17:12:08.082] 81110015e08849000181000000000020010023c8aeba2319
[2026-01-05 17:12:15.431] 81110013
[2026-01-05 17:12:15.442] e08849000c8100000000100b8600aec8b21755c2
[2026-01-05 17:12:23.881] 81110016e0882b00078100000000002303002ec8ae905f41
[2026-01-05 17:12:27.047] 81110014e0882b0006810000000010178600b4c8b1795731
[2026-01-05 17:12:29.108] 8111000ee0882b000881000000000016
[2026-01-05 17:12:29.132] 80009fc8b13c2093
[2026-01-05 17:12:29.289] 81110010e08849000a8100000000000b800096e085f84851
[2026-01-05 17:12:29.719] 81120015e08849000487000000000018fde80008c8b1755fdd
[2026-01-05 17:12:31.849] 81110011e0884900048100000000001680009bc8b1755f03
[2026-01-05 17:12:34.212] 8111001ae0884900108141af33330017821010c8af2b3c7e
[2026-01-05 17:12:34.517] 81110004e0
[2026-01-05 17:12:34.528] 882b000b8100000000002300002fe088355fda
[2026-01-05 17:12:39.841] 81110007e0882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:12:41.262] 81110011e088490016810000000008270680ccc8b1bc3481
[2026-01-05 17:12:41.985] 81110011e088490017810000000008270680cdc8b1bc1665
[2026-01-05 17:12:43.130] 811100
[2026-01-05 17:12:43.151] 16e0884900148140c0000020270780e3c8b1bc34af
[2026-01-05 17:12:46.691] 81110017e0882b000281000000000015800098c8b14c5fd4
[2026-01-05 17:12:52.733] 8111000fe088490005813f80000000240300ece08829462f
[2026-01-05 17:12:53.580] 81110015e0882b00098100000000002112205de088335f34
[2026-01-05 17:13:00.924] 81110010e0882b000f81000000000824060042e087e9196d
[2026-01-05 17:13:02.469] 81110013e0882b000d8100000000082306003fc8afc03c71
[2026-01-05 17:13:06.421] 81110017e08849000181000000000020010023c8aeba4137
[2026-01-05 17:13:15.872] 8111000ce08849000c8100000000100b8600aec8b21752bf
[2026-01-05 17:13:17.560] 81110016e0882b0007813f80000000230300edc8ae905fbf
[2026-01-05 17:13:27.187] 81110017e0882b0006810000000010178600b4c8b1795731
[2026-01-05 17:13:28.978] 81110017e08849000a8100000000000b800096e085f8525b
[2026-01-05 17:13:29.569] 81110017e0882b00088100000000001680009fc8b13c1e91
[2026-01-05 17:13:29.789] 81110017e0882b000b8100000000002300002fe088355fda
[2026-01-05 17:13:31.967] 81110014e0884900048100000000001680009bc8b175
[2026-01-05 17:13:31.978] 5f03
[2026-01-05 17:13:33.976] 8111000ce0884900108141af33330017821010c8af2b5fa1
[2026-01-05 17:13:40.021] 81110014e0882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:13:47.341] 8111000ce0882b000281000000000015800098c8b14c57cc
[2026-01-05 17:13:47.760] 81110017e088490005813f80000000240300ec
[2026-01-05 17:13:47.770] e088292811
[2026-01-05 17:13:49.561] 8111000be0882b00098100000000002012205ce088335f32
[2026-01-05 17:13:55.889] 81110017e0882b000f81000000000824060042e087e9378b
