                     OI-7500 Modbus Register Map,,,,,,,
"Register Address
(Hexadecimal)",Register Address (Decimal),"

Data Description",,"

R/W",Length (In Bits),"

Units","

Valid Response"
Radio Data,,,,,,,
1,1,Channel 1 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
2,2,Channel 2 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
3,3,Channel 3 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
4,4,Channel 4 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
5,5,Channel 5 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
6,6,Channel 6 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
7,7,Channel 7 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
8,8,Channel 8 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
9,9,Channel 9 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
A,10,Channel 10 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
B,11,Channel 11 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
C,12,Channel 12 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
D,13,Channel 13 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
E,14,Channel 14 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
F,15,Channel 15 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
10,16,Channel 16 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
11,17,Channel 17 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
12,18,Channel 18 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
13,19,Channel 19 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
14,20,Channel 20 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
15,21,Channel 21 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
16,22,Channel 22 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
17,23,Channel 23 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
18,24,Channel 24 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
19,25,Channel 25 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
1A,26,Channel 26 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
1B,27,Channel 27 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
1C,28,Channel 28 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
1D,29,Channel 29 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
1E,30,Channel 30 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
1F,31,Channel 31 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
20,32,Channel 32 Radio Address,,R/W,16,INTEGER,Radio Address (1-255)
21,33,Channel 1 Reading,,R,32,FLOAT,Any valid sensor reading
23,35,Channel 2 Reading,,R,32,FLOAT,Any valid sensor reading
25,37,Channel 3 Reading,,R,32,FLOAT,Any valid sensor reading
27,39,Channel 4 Reading,,R,32,FLOAT,Any valid sensor reading
29,41,Channel 5 Reading,,R,32,FLOAT,Any valid sensor reading
2B,43,Channel 6 Reading,,R,32,FLOAT,Any valid sensor reading
2D,45,Channel 7 Reading,,R,32,FLOAT,Any valid sensor reading
2F,47,Channel 8 Reading,,R,32,FLOAT,Any valid sensor reading
31,49,Channel 9 Reading,,R,32,FLOAT,Any valid sensor reading
33,51,Channel 10 Reading,,R,32,FLOAT,Any valid sensor reading
35,53,Channel 11 Reading,,R,32,FLOAT,Any valid sensor reading
37,55,Channel 12 Reading,,R,32,FLOAT,Any valid sensor reading
39,57,Channel 13 Reading,,R,32,FLOAT,Any valid sensor reading
3B,59,Channel 14 Reading,,R,32,FLOAT,Any valid sensor reading
3D,61,Channel 15 Reading,,R,32,FLOAT,Any valid sensor reading
3F,63,Channel 16 Reading,,R,32,FLOAT,Any valid sensor reading
41,65,Channel 17 Reading,,R,32,FLOAT,Any valid sensor reading
43,67,Channel 18 Reading,,R,32,FLOAT,Any valid sensor reading
45,69,Channel 19 Reading,,R,32,FLOAT,Any valid sensor reading
47,71,Channel 20 Reading,,R,32,FLOAT,Any valid sensor reading
49,73,Channel 21 Reading,,R,32,FLOAT,Any valid sensor reading
4B,75,Channel 22 Reading,,R,32,FLOAT,Any valid sensor reading
4D,77,Channel 23 Reading,,R,32,FLOAT,Any valid sensor reading
