"Register Address
(Hexadecimal)"	Register Address (Decimal)	"

Data Description"				"

R/W"	Length (In Bits)
1	1	Channel 1 Radio Address				R/W	16
2	2	Channel 2 Radio Address				R/W	16
3	3	Channel 3 Radio Address				R/W	16
4	4	Channel 4 Radio Address				R/W	16
5	5	Channel 5 Radio Address				R/W	16
6	6	Channel 6 Radio Address				R/W	16
7	7	Channel 7 Radio Address				R/W	16
8	8	Channel 8 Radio Address				R/W	16
9	9	Channel 9 Radio Address				R/W	16
A	10	Channel 10 Radio Address				R/W	16
B	11	Channel 11 Radio Address				R/W	16
C	12	Channel 12 Radio Address				R/W	16
D	13	Channel 13 Radio Address				R/W	16
E	14	Channel 14 Radio Address				R/W	16
F	15	Channel 15 Radio Address				R/W	16
10	16	Channel 16 Radio Address				R/W	16
11	17	Channel 17 Radio Address				R/W	16
12	18	Channel 18 Radio Address				R/W	16
13	19	Channel 19 Radio Address				R/W	16
14	20	Channel 20 Radio Address				R/W	16
15	21	Channel 21 Radio Address				R/W	16
16	22	Channel 22 Radio Address				R/W	16
17	23	Channel 23 Radio Address				R/W	16
18	24	Channel 24 Radio Address				R/W	16
19	25	Channel 25 Radio Address				R/W	16
1A	26	Channel 26 Radio Address				R/W	16
1B	27	Channel 27 Radio Address				R/W	16
1C	28	Channel 28 Radio Address				R/W	16
1D	29	Channel 29 Radio Address				R/W	16
1E	30	Channel 30 Radio Address				R/W	16
1F	31	Channel 31 Radio Address				R/W	16
20	32	Channel 32 Radio Address				R/W	16
21	33	Channel 1 Reading				R	32
23	35	Channel 2 Reading				R	32
25	37	Channel 3 Reading				R	32
27	39	Channel 4 Reading				R	32
29	41	Channel 5 Reading				R	32
2B	43	Channel 6 Reading				R	32
2D	45	Channel 7 Reading				R	32
2F	47	Channel 8 Reading				R	32
31	49	Channel 9 Reading				R	32
33	51	Channel 10 Reading				R	32
35	53	Channel 11 Reading				R	32
37	55	Channel 12 Reading				R	32
39	57	Channel 13 Reading				R	32
3B	59	Channel 14 Reading				R	32
3D	61	Channel 15 Reading				R	32
3F	63	Channel 16 Reading				R	32
41	65	Channel 17 Reading				R	32
43	67	Channel 18 Reading				R	32
45	69	Channel 19 Reading				R	32
47	71	Channel 20 Reading				R	32
49	73	Channel 21 Reading				R	32
4B	75	Channel 22 Reading				R	32
4D	77	Channel 23 Reading				R	32
4F	79	Channel 24 Reading				R	32
51	81	Channel 25 Reading				R	32
53	83	Channel 26 Reading				R	32
55	85	Channel 27 Reading				R	32
57	87	Channel 28 Reading				R	32
59	89	Channel 29 Reading				R	32
5B	91	Channel 30 Reading				R	32
5D	93	Channel 31 Reading				R	32
5F	95	Channel 32 Reading				R	32
61	97	Channel 1 Mode				R	16
62	98	Channel 2 Mode				R	16
63	99	Channel 3 Mode				R	16
64	100	Channel 4 Mode				R	16
65	101	Channel 5 Mode				R	16
66	102	Channel 6 Mode				R	16
67	103	Channel 7 Mode				R	16
68	104	Channel 8 Mode				R	16
69	105	Channel 9 Mode				R	16
6A	106	Channel 10 Mode				R	16
6B	107	Channel 11 Mode				R	16
6C	108	Channel 12 Mode				R	16
6D	109	Channel 13 Mode				R	16
6E	110	Channel 14 Mode				R	16
6F	111	Channel 15 Mode				R	16
70	112	Channel 16 Mode				R	16
71	113	Channel 17 Mode				R	16
72	114	Channel 18 Mode				R	16
